position_id,signal_ts,strategy,side,contracts,short_strike,long_strike,credit_theo,stop_level,exit_ts,exit_value_theo,exit_reason,pnl_theo,credit_actual,exit_value_actual,pnl_actual,fill_notes
2026-08-31-METF-10:00-PUT,2026-08-31T10:00:02-04:00,METF,PUT,1,7645.0,7615.0,1.68,3.35,2026-08-31T16:00:01-04:00,0.00,EXPIRED,168.00,1.63,0.00,163.00,SIM fill
2026-08-31-BAND-PUT,2026-08-31T10:35:02-04:00,BAND,PUT,1,7645.0,7615.0,2.83,5.70,2026-08-31T15:41:46-04:00,0.03,TP,280.50,2.78,0.08,270.50,SIM fill
2026-08-31-BAND-CALL,2026-08-31T10:35:02-04:00,BAND,CALL,1,7685.0,7715.0,2.87,5.70,2026-08-31T10:57:15-04:00,6.08,STOPPED,-320.50,2.82,6.12,-330.50,SIM fill
2026-08-31-METF-10:45-PUT,2026-08-31T10:45:02-04:00,METF,PUT,1,7645.0,7615.0,1.65,3.30,2026-08-31T16:00:01-04:00,0.00,EXPIRED,165.00,1.60,0.00,160.00,SIM fill
2026-08-31-METF-11:30-PUT,2026-08-31T11:30:02-04:00,METF,PUT,1,7655.0,7625.0,2.00,4.00,2026-08-31T16:00:01-04:00,0.00,EXPIRED,200.00,1.95,0.00,195.00,SIM fill
2026-08-31-METF-12:30-PUT,2026-08-31T12:30:02-04:00,METF,PUT,1,7660.0,7630.0,1.95,3.90,2026-08-31T16:00:01-04:00,0.00,EXPIRED,195.00,1.90,0.00,190.00,SIM fill
2026-08-31-METF-13:30-PUT,2026-08-31T13:30:03-04:00,METF,PUT,1,7660.0,7630.0,1.98,3.95,2026-08-31T16:00:01-04:00,0.00,EXPIRED,198.00,1.93,0.00,193.00,SIM fill
2026-08-31-METF-14:15-PUT,2026-08-31T14:15:02-04:00,METF,PUT,1,7675.0,7645.0,2.15,4.30,2026-08-31T14:36:26-04:00,5.38,STOPPED,-322.50,2.10,5.42,-332.50,SIM fill
2026-09-01-METF-10:00-PUT,2026-09-01T10:00:01-04:00,METF,PUT,1,7605.0,7575.0,1.85,3.70,2026-09-01T16:00:01-04:00,0.00,EXPIRED,185.00,1.80,0.00,180.00,SIM fill
2026-09-01-BAND-PUT,2026-09-01T10:35:02-04:00,BAND,PUT,1,7635.0,7605.0,1.78,6.70,2026-09-01T12:31:04-04:00,6.88,STOPPED,-509.50,1.73,6.92,-519.50,SIM fill
2026-09-01-BAND-CALL,2026-09-01T10:35:02-04:00,BAND,CALL,1,7670.0,7700.0,4.93,6.70,2026-09-01T15:26:29-04:00,0.00,TP,493.00,4.88,0.05,483.00,SIM fill
2026-09-01-METF-10:45-PUT,2026-09-01T10:45:02-04:00,METF,PUT,1,7635.0,7605.0,1.92,3.85,2026-09-01T11:07:28-04:00,3.92,STOPPED,-200.50,1.87,3.97,-210.50,SIM fill
2026-09-01-METF-11:30-PUT,2026-09-01T11:30:03-04:00,METF,PUT,1,7635.0,7605.0,1.93,3.85,2026-09-01T12:21:06-04:00,4.32,STOPPED,-239.50,1.88,4.37,-249.50,SIM fill
